Indicator Name,Year,Value,Group
"Population, total",1960,93216000.0,Demographics
Urban population,1960,58979628.0,Demographics
Rural population,1960,34236372.0,Demographics
"Population, female",1960,47910400.0,Demographics
Sex ratio at birth (male births per female births),1960,1.056,Other Health Indicators
Population growth (annual %),1960,,Demographics
"Population, male",1960,45305600.0,Demographics
Age group distribution -male,1960,,Other Health Indicators
"Population ages 00-04, male (% of male population)",1960,0.807403045,Demographics
"Population ages 05-09, male (% of male population)",1960,3.13997543,Demographics
"Population ages 10-14, male (% of male population)",1960,4.456409979,Demographics
"Population ages 15-19, male (% of male population)",1960,4.908558245,Demographics
"Population ages 20-24, male (% of male population)",1960,8.295649153,Demographics
"Population ages 25-29, male (% of male population)",1960,9.189854548,Demographics
"Population ages 30-34, male (% of male population)",1960,63.97476434,Demographics
"Population ages 35-39, male (% of male population)",1960,9.96267389,Demographics
"Population ages 40-44, male (% of male population)",1960,10.0263934,Demographics
"Population ages 45-49, male (% of male population)",1960,30.98208409,Demographics
"Population ages 50-54, male (% of male population)",1960,8.718684018,Demographics
"Population ages 55-59, male (% of male population)",1960,8.913856905,Demographics
"Population ages 60-64, male (% of male population)",1960,0.95857934,Demographics
"Population ages 65-69, male (% of male population)",1960,2284830.0,Demographics
"Population ages 70-74, male (% of male population)",1960,2.401126758,Demographics
"Population ages 75-79, male (% of male population)",1960,3.835039908,Demographics
"Population ages 80 and above, male (% of male population)",1960,6.946513828,Demographics
age distribution female,1960,,Other Health Indicators
"Population ages 00-04, female (% of female population)",1960,8.728273138,Demographics
"Population ages 05-09, female (% of female population)",1960,5.353771925,Demographics
"Population ages 10-14, female (% of female population)",1960,60053275.0,Demographics
"Population ages 15-19, female (% of female population)",1960,1.841724886,Demographics
"Population ages 20-24, female (% of female population)",1960,31069124.0,Demographics
"Population ages 25-29, female (% of female population)",1960,11.52844517,Demographics
"Population ages 30-34, female (% of female population)",1960,17.2,Demographics
"Population ages 35-39, female (% of female population)",1960,,Demographics
"Population ages 40-44, female (% of female population)",1960,27809663.0,Demographics
"Population ages 45-49, female (% of female population)",1960,13773044.0,Demographics
"Population ages 50-54, female (% of female population)",1960,64.834405,Demographics
"Population ages 55-59, female (% of female population)",1960,5.742643834,Demographics
"Population ages 60-64, female (% of female population)",1960,6.404106004,Demographics
"Population ages 65-69, female (% of female population)",1960,67.69560976,Demographics
"Population ages 70-74, female (% of female population)",1960,,Demographics
"Population ages 75-79, female (% of female population)",1960,27.3,Demographics
"Population ages 80 and above, female (% of female population)",1960,,Demographics
Dependancy,1960,,Other Health Indicators
"Population ages 65 and above, female (% of female population)",1960,,Demographics
"Age dependency ratio, old (% of working-age population)",1960,,Demographics
"Population ages 0-14, female",1960,,Demographics
"Population ages 0-14, male (% of male population)",1960,,Demographics
"Population ages 0-14, total",1960,,Demographics
"Population ages 15-64, female",1960,,Demographics
"Population ages 15-64, male (% of male population)",1960,1.202675021,Demographics
"Population ages 15-64, total",1960,5353063.0,Demographics
Population ages 65 and above (% of total population),1960,3068233.0,Demographics
"Population ages 65 and above, female",1960,3.186338554,Demographics
"Population ages 65 and above, male",1960,4.595608316,Demographics
"Population ages 65 and above, total",1960,5.771098915,Demographics
"Survival to age 65, male (% of cohort)",1960,7.934450284,Longevity
"Life expectancy at birth, total (years)",1960,8.961809097,Longevity
"Mortality rate, infant, female (per 1,000 live births)",1960,9.535487381,Mortality
"Birth rate, crude (per 1,000 people)",1960,9.248078071,Other Health Indicators
Vitamin A supplementation coverage rate (% of children ages 6-59 months),1960,7.970979414,Other Health Indicators
Prevalence of undernourishment (% of population),1960,2.0,Demographics
Prevalence of severe food insecurity in the population (%),1960,33.3,Demographics
"Domestic private health expenditure per capita, PPP (current international $)",1960,149.04,Healthcare
External health expenditure per capita (current US$),1960,,Healthcare
"External health expenditure per capita, PPP (current international $)",1960,,Healthcare
Current health expenditure per capita (current US$),1960,,Healthcare
Completeness of birth registration (%),1960,,Other Health Indicators
"Completeness of birth registration, female (%)",1960,,Other Health Indicators
"Fertility rate, total (births per woman)",1960,,Other Health Indicators
"Mortality rate, infant, male (per 1,000 live births)",1960,,Mortality
"Mortality rate, adult, female (per 1,000 female adults)",1960,,Mortality
"Tuberculosis case detection rate (%, all forms)",1960,,Other Health Indicators
"Prevalence of severe wasting, weight for height, female (% of children under 5)",1960,,Other Health Indicators
"Suicide mortality rate, female (per 100,000 female population)",1960,,Demographics
"Prevalence of stunting, height for age, female (modeled estimate, % of children under 5)",1960,,Other Health Indicators
"Prevalence of overweight, weight for height, female (modeled estimate, % of children under 5)",1960,,Other Health Indicators
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),1960,,Other Health Indicators
"Maternal mortality ratio (national estimate, per 100,000 live births)",1960,,Mortality
